tag,sc,mark
0_0,,
1boy,1男,
1girl,1女,
1koma,,?
1other,1其他,
2boys,2男,
2girls,2女,
2koma,,?
2others,2其他,
3:,,
3boys,3男,
3d,,
3girls,3女,
3koma,,?
4boys,4男,
4girls,4女,
4koma,,?
4panels,四格漫画,
5boys,5男,
5girls,5女,
5koma,,?
6+boys,6以上男,
6+girls,6以上女,
39,,
69,,
1970s_(style),1970s风格,
1980s_(style),1980s风格,
1990s_(style),1990s风格,
2006,,
2007,,
2008,,
2009,,
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
!,,
!!,,
!!?,,
!?,,
(9),,
(o)_(o),,
+++,,
+_+,,
...,,
._.,,
/\/\/\,,
:3,,
:/,,
:<,,
:>,,
:>=,,
:d,,
:i,,
:o,,
:p,,
:q,,
:t,,
:x,,
:|,,
;3,,
;),,
;d,,
;o,,
;p,,
;q,,
<o>_<o>,,
=3,,
=_=,,
>:(,,
>:),,
>_<,,
>_o,,
>o<,,
?,,
??,,
@_@,,
\m/,,
\n/,,
\o/,,
\||/,,
^_^,,
^o^,,
abs,腹肌,
absolutely_everyone,全家福,?
abstract,抽象,
abstract_background,抽象背景,
absurdly_long_hair,长发(超过身高),?
abuse,虐待,
acoustic_guitar,原声吉他,
acrylic_paint_(medium),丙烯画(中等),
action,动作,
adapted_costume,原服装魔改,
adapted_uniform,原制服魔改,
adjusting_clothes,手调整衣服,?
adjusting_eyewear,手调整眼镜,?
adjusting_gloves,手调整手套,?
adjusting_hair,手调整头发,?
adjusting_hat,手调整帽子,?
adjusting_headwear,手调整帽子/头饰,?
adjusting_legwear,手调整袜子,?
adjusting_panties,手调整胖次,?
adjusting_swimsuit,手调整泳装,?
aerial_fireworks,花火大会,
aestus_estus,原初之火,
afloat,水上漂浮,
afro,,
after_anal,,
after_fellatio,,
after_kiss,,
after_paizuri,,
after_sex,,
after_vaginal,,
afterglow,,
afterimage,,
against_glass,,
against_tree,,
against_wall,,
age_difference,,
age_progression,,
age_regression,,
ahegao,,
ahoge,,
aiguillette,,
aiming,,
aiming_at_viewer,,
ainu_clothes,,
air_bubble,,
air_conditioner,,
aircraft,,
airplane,,
airship,,
ajirogasa,,
akanbe,,
akeome,,
alarm_clock,,
albino,,
album_cover,,
alcohol,,
alice_(wonderland)_(cosplay),,
alien,,
all_fours,,
alley,,
alolan_form,,
alpaca_ears,,
alpha_signature,,
alphes_(style),,
alternate_breast_size,,
alternate_color,,
alternate_costume,,
alternate_eye_color,,
alternate_form,,
alternate_hair_color,,
alternate_hair_length,,
alternate_hairstyle,,
alternate_headwear,,
alternate_legwear,,
alternate_skin_color,,
alternate_weapon,,
alternate_wings,,
ambiguous_gender,,
america,,
american_flag,,
american_flag_bikini,,
american_flag_dress,,
american_flag_legwear,,
ammunition,,
ammunition_belt,,
amplifier_(instrument),,
amputee,,
amulet,,
anal,,
anal_beads,,
anal_fingering,,
anal_hair,,
anal_object_insertion,,
anal_tail,,
analog_clock,,
anchor,,
anchor_choker,,
anchor_hair_ornament,,
anchor_print,,
anchor_symbol,,
androgynous,,
android,,
angel,,
angel_and_devil,,
angel_wings,,
